Date,Item,Quantity,Customer
7/21/2021,1001094787,1,Customer 1
7/23/2021,T281544,8,Customer 4
7/23/2021,T282429,12,Customer 4
7/23/2021,T311379,32,Customer 4
7/21/2021,1001208664,1,Customer 1
7/22/2021,1001080861,6,Customer 1
7/26/2021,T370531,14,Customer 4
7/26/2021,T401552,16,Customer 4
7/22/2021,1001080861,6,Customer 1
7/22/2021,1220094,1,Customer 1
7/22/2021,1220094,3,Customer 1
7/22/2021,1001080861,6,Customer 1
7/22/2021,1220094P002,1,Customer 1
7/22/2021,1220094P032,2,Customer 1
7/22/2021,1220032P032,1,Customer 1
7/22/2021,1220094P002,1,Customer 1
7/22/2021,1001187810 Old Rev G,2,Customer 1
7/22/2021,1001187810 Old Rev G,3,Customer 1
7/22/2021,1001187809P032,3,Customer 1
7/22/2021,1001163064,2,Customer 1
7/22/2021,1001164232,2,Customer 1
7/22/2021,1220029,5,Customer 1
7/22/2021,1220081,3,Customer 1
7/22/2021,1001166096,32,Customer 1
7/22/2021,1001246922,5,Customer 1
7/22/2021,1220108,2,Customer 1
7/22/2021,1001246922,1,Customer 1
7/22/2021,1220097,1,Customer 1
7/22/2021,1220108P002,1,Customer 1
7/22/2021,1220108P136,1,Customer 1
7/22/2021,1220099P002,1,Customer 1
7/22/2021,1001208664,6,Customer 1
7/22/2021,1001208663,4,Customer 1
7/22/2021,1001208664,6,Customer 1
7/22/2021,1001161920,200,Customer 1
7/23/2021,1001187809,1,Customer 1
7/23/2021,1001187809,2,Customer 1
7/23/2021,1001187810 Old Rev G,3,Customer 1
7/23/2021,1220032,1,Customer 1
7/23/2021,1001187809,1,Customer 1
7/23/2021,1220029P032,1,Customer 1
7/23/2021,1220032P032,1,Customer 1
7/23/2021,1001223189P002,1,Customer 1
7/23/2021,1220029P032,2,Customer 1
7/23/2021,1220081P032,2,Customer 1
7/23/2021,1220029P032,2,Customer 1
7/23/2021,1220108,1,Customer 1
7/23/2021,1220108,2,Customer 1
7/23/2021,1220108,1,Customer 1
7/23/2021,1220097,4,Customer 1
7/23/2021,1001119253,1,Customer 1
7/23/2021,1001229686,4,Customer 1
7/23/2021,1001119253,1,Customer 1
7/23/2021,1001176490J,4,Customer 1
7/23/2021,1001266705P136,2,Customer 1
7/23/2021,2365374-31-01EC,300,Customer 5
7/23/2021,2365374-31-03EC,100,Customer 5
7/23/2021,2365374-31-07EC,100,Customer 5
7/23/2021,500083-04,32,Customer 5
7/23/2021,7D-11-282,50,Customer 5
7/23/2021,7D-11-285,135,Customer 5
7/23/2021,7D-11-289,420,Customer 5
7/23/2021,7D-11-290,108,Customer 5
7/23/2021,7D-11-299,20,Customer 5
7/23/2021,7D-11-323,36,Customer 5
7/23/2021,7D-11-505,24,Customer 5
7/23/2021,7D-11-695,24,Customer 5
7/23/2021,7D-11-824,40,Customer 5
7/23/2021,7D-11-830,75,Customer 5
7/23/2021,7D-11-832,75,Customer 5
7/23/2021,7D-203136,150,Customer 5
7/23/2021,7D-203141,110,Customer 5
7/23/2021,7D-203141,55,Customer 5
7/26/2021,1220094,5,Customer 1
7/26/2021,1001166096,32,Customer 1
7/26/2021,1001163064,4,Customer 1
7/26/2021,1001174679,1,Customer 1
7/26/2021,1001174679,1,Customer 1
7/26/2021,1001187810 Old Rev G,4,Customer 1
